,input_0_RMS_1,input_1_RMS_2,input_2_RMS_3,input_3_RMS_4,input_4_RMS_5,input_5_RMS_6,input_6_RMS_7,input_7_RMS_8,input_8_RMS_9,input_9_RMS_10,input_10_RMS_11,input_11_RMS_12,input_12_RMS_13,input_13_RMS_14,input_14_RMS_15,input_15_RMS_16,input_16_RMS_17,input_17_RMS_18,input_18_RMS_19,input_19_RMS_20,input_20_RMS_21,input_21_RMS_22,input_22_RMS_23,input_23_RMS_24,input_24_MAV_1,input_25_MAV_2,input_26_MAV_3,input_27_MAV_4,input_28_MAV_5,input_29_MAV_6,input_30_MAV_7,input_31_MAV_8,input_32_MAV_9,input_33_MAV_10,input_34_MAV_11,input_35_MAV_12,input_36_MAV_13,input_37_MAV_14,input_38_MAV_15,input_39_MAV_16,input_40_MAV_17,input_41_MAV_18,input_42_MAV_19,input_43_MAV_20,input_44_MAV_21,input_45_MAV_22,input_46_MAV_23,input_47_MAV_24,input_48_WL_1,input_49_WL_2,input_50_WL_3,input_51_WL_4,input_52_WL_5,input_53_WL_6,input_54_WL_7,input_55_WL_8,input_56_WL_9,input_57_WL_10,input_58_WL_11,input_59_WL_12,input_60_WL_13,input_61_WL_14,input_62_WL_15,input_63_WL_16,input_64_WL_17,input_65_WL_18,input_66_WL_19,input_67_WL_20,input_68_WL_21,input_69_WL_22,input_70_WL_23,input_71_WL_24,input_72_ZC_1,input_73_ZC_2,input_74_ZC_3,input_75_ZC_4,input_76_ZC_5,input_77_ZC_6,input_78_ZC_7,input_79_ZC_8,input_80_ZC_9,input_81_ZC_10,input_82_ZC_11,input_83_ZC_12,input_84_ZC_13,input_85_ZC_14,input_86_ZC_15,input_87_ZC_16,input_88_ZC_17,input_89_ZC_18,input_90_ZC_19,input_91_ZC_20,input_92_ZC_21,input_93_ZC_22,input_94_ZC_23,input_95_ZC_24,input_96_SSC_1,input_97_SSC_2,input_98_SSC_3,input_99_SSC_4,input_100_SSC_5,input_101_SSC_6,input_102_SSC_7,input_103_SSC_8,input_104_SSC_9,input_105_SSC_10,input_106_SSC_11,input_107_SSC_12,input_108_SSC_13,input_109_SSC_14,input_110_SSC_15,input_111_SSC_16,input_112_SSC_17,input_113_SSC_18,input_114_SSC_19,input_115_SSC_20,input_116_SSC_21,input_117_SSC_22,input_118_SSC_23,input_119_SSC_24,TRAJ_1,type,subject,trajectory,date_time,TRAJ_GT,VIDEO_STAMP,original_time,output_0
0,9.268656860624413,5.490828717051735,8.219513367590565,7.640209421213531,8.327640722317456,7.124492964415082,5.373267162537147,5.609456301639224,6.761449548728438,6.767303746692622,7.033178513303924,6.348732156895579,9.878603140120571,18.745666165810164,7.705764076326241,6.675866984894172,3.390752128953103,4.308363958627451,4.663689526544408,9.137527017743915,3.565725732582359,3.489068643635433,3.439941859973799,3.6933453670080736,6.9128,4.3644,7.0092,6.3888,6.9704,5.7176,4.0224,3.9684,6.0412,5.7604,6.1312,4.9832,8.0164,15.0176,6.0756,5.2408,2.5132,3.566,3.6972,7.3152,2.7176,2.6576,2.6468,2.7192,-30.0,-12.0,-10.0,-8.0,-10.0,-4.0,-4.0,-6.0,-7.0,-8.0,-6.0,-13.0,-17.0,-41.0,-10.0,-3.0,-1.0,-4.0,-5.0,13.0,-3.0,-1.0,-2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,10,11,10,15,10,8,12,9,10,11,4,10,9,8,10,3,3,3,2,3,2,1,1,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,5.277482924891643,6.046359045767103,0.0
1,5.357312759210536,5.352457379559412,7.73108013152108,7.426062213582647,7.963567039963938,6.892111432645296,5.239541964714092,5.474340142884802,6.579908813957835,6.290405392341578,6.763017078198161,5.242671074938805,6.481820731862306,7.85546943218545,6.956234613639768,6.668133172035484,2.983219737129667,4.170419643153432,4.555831427961311,7.937203537770718,3.474017846816565,2.8967568071897234,3.1136473788789893,3.1822004965118085,4.2024,4.2376,6.7232,6.2568,6.6704,5.482,3.8912,3.81,5.8904,5.4884,5.952,4.2304,5.234,6.554,5.6772,5.2432,2.2164,3.4532,3.534,6.464,2.592,2.1944,2.4516,2.412,6.0,10.0,13.0,12.0,12.0,10.0,9.0,8.0,13.0,14.0,15.0,6.0,1.0,2.0,12.0,15.0,7.0,9.0,12.0,3.0,7.0,4.0,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,9,11,12,10,11,7,9,9,8,10,6,8,9,3,3,4,3,3,3,1,1,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,5.521428047201128,6.290304168076587,0.0
2,5.551144026234592,5.590456153123822,8.00069996937768,7.850299357349375,8.462694606329594,7.402837293902926,5.469808040507455,5.4054787022057535,6.958821739346396,6.602060284486957,7.120954992134131,5.420332093147061,6.515673411091136,7.609625483556993,7.365894378824611,6.700059701226549,3.016819517306264,4.775102093149423,8.430349933425065,18.353255841948044,6.157499492488814,3.6981076241775335,3.6796195455508713,3.5161342408958167,4.4344,4.51,6.9232,6.6416,7.126,5.9268,4.0964,3.784,6.2156,5.7624,6.2584,4.4544,5.47,6.6656,6.2596,5.426,2.2988,3.9136,5.9156,12.3028,4.206,2.7672,2.8044,2.6128,-6.0,-4.0,-3.0,-4.0,-6.0,-8.0,-3.0,-3.0,-6.0,-5.0,-4.0,-3.0,-4.0,-5.0,-3.0,-5.0,-2.0,-5.0,-7.0,-2.0,-5.0,-4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,10,12,10,8,12,10,11,7,8,10,9,9,7,8,9,4,5,3,2,5,3,1,1,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,5.765373169510612,6.534249290386072,0.0
3,5.886085286504096,6.125128570079163,8.629322105472712,8.476721064185137,9.172502384845696,8.168916696845427,6.154738012295893,5.7976546982379,7.321120132875842,6.943687780999373,7.482486217828938,5.804136456011351,6.9538478556839305,8.080915789686216,7.967383510287426,7.112242965478612,3.3573203600490675,5.334529032632591,10.451602747904266,22.540310556866782,7.811376319189852,4.40558736152173,3.9096802938347786,3.8250228757485885,4.7188,4.866,7.4068,7.2124,7.7404,6.5704,4.6424,3.9944,6.5196,6.0276,6.5388,4.8024,5.8656,7.0524,6.8248,5.8408,2.526,4.3332,7.6552,15.4448,5.6224,3.386,2.9888,2.818,-7.0,-9.0,-12.0,-10.0,-7.0,-5.0,-5.0,-6.0,-11.0,-10.0,-9.0,-7.0,-8.0,-12.0,-10.0,-10.0,-3.0,-8.0,-11.0,13.0,-9.0,-4.0,-3.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,15,16,19,20,17,15,15,12,13,13,10,15,13,14,17,7,10,4,4,8,2,2,3,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,6.009318291820096,6.778194412695555,0.0
4,5.765622256096909,5.97380950483023,8.480353766205747,8.24298489626179,8.906941113536117,7.963667496825819,6.32015822586745,6.108191221630181,7.105997466928904,6.769017653987911,7.346318806041568,5.792063535563124,6.898521580744674,7.861882726166805,7.650176468552866,6.853553822652887,3.488151372862135,4.903876018008612,8.035745142797897,17.26418257549427,6.164705994611584,3.901384369682126,3.6843452606942257,3.8127680233657015,4.5536,4.6992,7.3628,7.11,7.6176,6.5176,4.8836,4.238,6.328,5.8732,6.4548,4.7976,5.8416,6.9172,6.5796,5.6472,2.5616,3.9736,5.758,12.0448,4.3364,3.0032,2.8576,2.8076,7.0,10.0,16.0,12.0,15.0,13.0,8.0,9.0,12.0,12.0,11.0,9.0,8.0,11.0,10.0,8.0,4.0,7.0,6.0,5.0,5.0,5.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,18,17,20,24,17,17,16,14,16,13,9,15,14,15,20,7,10,5,5,6,2,1,2,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,6.25326341412958,7.0221395350050395,0.0
5,5.13147152384187,5.2336602870266615,7.763968057636507,7.615589274639225,8.24257241399795,7.1727261205207045,5.516520642578979,5.309312573205688,6.761834070723712,6.402749409433419,6.939682989877852,5.381709765492747,6.451015423946838,7.434514106516982,6.936656254997792,6.122221818915091,3.2173902467683337,4.288776049177667,5.158371836151403,10.641597624417116,3.9254553875951768,3.21763888589133,3.427885645700568,3.420760149440472,4.2088,4.2736,6.8928,6.7148,7.2504,6.1384,4.3624,3.8144,6.0784,5.6256,6.172,4.5516,5.5964,6.6368,6.0844,5.1024,2.4196,3.6328,4.0912,8.1188,3.0564,2.5364,2.6848,2.54,-1.0,-1.0,-4.0,-5.0,-4.0,-3.0,-4.0,-3.0,-3.0,-1.0,-5.0,-4.0,-1.0,0.0,-2.0,-2.0,1.0,0.0,5.0,-18.0,6.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,12,14,9,12,12,9,13,10,6,10,10,9,13,5,6,3,2,2,2,0,1,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,6.497208536439064,7.266084657314524,0.0
6,5.1775283678604795,5.374718597284884,8.053446467196514,7.906706014517044,8.402094976849524,7.263745590258513,5.326387143270756,4.953584560699454,6.860145771045977,6.565759666634166,7.150468516118367,5.477298604239137,6.486447409792205,7.4851586489532735,6.915981492167255,6.124932652690966,3.033875409439221,4.320509229246015,4.2316427070347045,4.746788387952427,3.40552492282761,3.1232034836046147,3.1794968155354395,3.0844124237851203,4.3252,4.4348,7.1428,6.9616,7.3536,6.1708,4.264,3.7252,6.1912,5.7812,6.3284,4.5896,5.618,6.6292,6.0564,5.0116,2.3452,3.6852,3.4164,3.8616,2.62,2.4432,2.5348,2.376,-7.0,-8.0,-11.0,-8.0,-11.0,-9.0,-8.0,-8.0,-12.0,-10.0,-10.0,-6.0,-8.0,-10.0,-13.0,-9.0,-5.0,-7.0,-7.0,-4.0,-3.0,-4.0,-7.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,13,11,10,12,12,9,12,11,9,11,12,8,10,4,6,1,1,2,2,0,1,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,6.741153658748548,7.510029779624007,0.0
7,5.793513614379447,6.100655702463466,8.539391078993864,8.236698367671357,8.803340275145565,7.775988683119337,5.640212761944357,5.500836300054747,7.260798854120668,6.935070295245752,7.492155898004259,5.840102738822323,6.809757704940757,7.6987011891617145,7.20966018616689,6.421868886858404,3.2993332659796586,4.624629714906914,4.559034985608248,5.331716421566323,3.8070460990116737,3.413326822910458,3.398234835911138,3.3246353183469615,4.6648,4.8436,7.434,7.0928,7.5316,6.3676,4.2944,3.796,6.464,5.9752,6.5484,4.7444,5.7424,6.7484,6.2536,5.194,2.4096,3.8056,3.6,3.9536,2.8008,2.5892,2.6496,2.4916,12.0,10.0,17.0,18.0,15.0,14.0,10.0,10.0,15.0,11.0,15.0,10.0,13.0,15.0,14.0,12.0,3.0,6.0,-2.0,24.0,-3.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,18,19,20,17,18,21,15,14,15,10,15,17,15,13,4,7,0,1,6,3,1,0,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,6.985098781058032,7.753974901933492,0.0
8,5.600357131469385,5.969154043916106,8.200365845497382,7.8314238807511884,8.430017793575528,7.447818472546173,5.279242369886043,5.089125661643658,7.106194480873712,6.7846886442931185,7.181420472302119,5.674751095863148,6.558993825275337,7.475319391169852,7.03755639409021,6.25082394568908,3.3475961524652282,4.552845264227635,4.477052601879946,5.5761635557074545,3.814026743482536,3.3739590987443817,3.381183224848958,3.262085222675827,4.4712,4.6804,7.122,6.7184,7.1956,6.0148,3.9104,3.296,6.3324,5.8584,6.316,4.5612,5.5356,6.6028,6.1704,5.2232,2.3832,3.7612,3.6112,3.8512,2.7964,2.5508,2.622,2.4212,9.0,6.0,7.0,8.0,7.0,5.0,5.0,6.0,12.0,9.0,9.0,4.0,9.0,9.0,10.0,8.0,3.0,5.0,4.0,7.0,3.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,16,15,20,15,14,19,10,11,12,7,11,12,14,12,3,4,2,0,5,2,1,0,0.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,0.0,7.229043903367517,7.997920024242976,0.0
9,134.2010774919486,175.13146604765234,119.71716167701271,32.931565404638754,33.088040135372175,43.84795548255357,39.534157383204715,36.80945530702675,61.05358629925027,44.412768434314025,39.06813023424592,30.711554828761113,28.105721837376816,29.16345658525409,31.953322205992915,38.854672820653114,56.24994577775164,31.940951770415356,34.123370290755275,35.35990384602311,26.50049056149716,29.887100896540634,23.914623141500684,25.001239969249525,103.334,141.924,95.3108,25.728,26.024,34.164,31.3936,27.792,45.5236,34.6828,30.5156,23.9972,22.3428,22.94,25.1772,30.7888,39.922,25.1476,26.6276,27.5828,20.4512,22.8948,18.4524,19.8572,-4.0,-10.0,-17.0,8.0,-5.0,9.0,-23.0,-31.0,82.0,62.0,45.0,21.0,-9.0,-27.0,-23.0,-30.0,86.0,53.0,56.0,28.0,8.0,-13.0,-10.0,29.0,12,6,8,32,34,38,36,38,49,35,31,28,32,34,27,22,27,25,23,16,21,32,24,17,24,16,15,14,16,18,12,25,12,9,10,7,12,11,11,17,3,5,5,4,5,2,1,1,1.0,emg_gestures,4.0,repeats_short,2018-06-18 15:12:34.944,1.0,7.960879270295969,8.729755391171429,1.0
